sentence	paraphrase	reference
They generally only come to the surface in winter because they prefer water temperatures of around six degrees Celsius.	They generally only come to the surface in winter because of their preference for water temperatures of around six degrees Celsius.	Weil sie Wassertemperaturen um die sechs Grad Celsius bevorzugen, tauchen sie an der Oberfläche meist nur im Winter auf.
The device is still available online for fans to buy for a couple of euros, even though it comes from the stone age of the Internet.	The device is still available online for fans for purchase for a couple of euros, even though it comes from the stone age of the Internet.	Für ein paar Euro können Liebhaber die Geräte noch im Internet kaufen, doch sie stammen irgendwie aus der Steinzeit des Internetzeitalters.
Bulgaria's Prime Minister Bojko Borissow spoke up immediately to criticise the athlete.	Bulgaria's Prime Minister Bojko Borissow spoke up immediately for criticising the athlete.	Bulgariens Ministerpräsident Bojko Borissow meldete sich umgehend mit Kritik an der Athletin zu Wort.
The district authorities deliberately chose the less busy period of the school holidays for the extension of the right-hand turning lane, because it will cause delays.	The district authorities deliberately chose the less busy period of the school holidays for the extension of the right-hand turning lane, because of its causation of delays.	Für die Verlängerung der Rechtsabbiegespur hat der Landesbetrieb bewusst die verkehrsschwächere Zeit in den Schulferien ausgesucht, weil mit Behinderungen zu rechnen sei.
But what should you do when nobody listens to you?	But what should you do as nobody 's listening to you?	Aber was soll man denn machen, wenn einem nie jemand zuhört?
Nobody was in the mood to listen.	Nobody was in the mood for listening.	Niemand war in der Stimmung zuzuhören.
EPA Chief Pruitt Backtracks on Delaying Obama-Era Rules to Reduce Emissions	EPA Chief Pruitt Backtracks on Delaying Obama-Era Rules for Reduction in Emissions	EPA-Chef Pruitt zieht sich wegen des Hinauszögerns der Regeln der Obama-Era zur Verringerung der Emissionen zurück
Before Swiss concluded a contract with the Migros subsidiary, Barry Callebaut had supplied the chocolate bars, in collaboration with Hug.	Before Swiss ' conclusion of a contract with the Migros subsidiary, Barry Callebaut had supplied the chocolate bars, in collaboration with Hug.	Bevor die Swiss einen Vertrag mit der Migros Tochter abschloss, hatte Barry Callebaut in Zusammenarbeit mit Hug die Schokolade-Tablets geliefert.
Half as many were clocked up by Herbert Mair and Dorothee Reixinger, while Tamara Pfrommer, Petra Schleeh, Stefanie Stoll and Uwe Vetter each gave 500 millilitres of their lifeblood.	Half as many were clocked up by Herbert Mair and Dorothee Reixinger, with Tamara Pfrommer, Petra Schleeh, Stefanie Stoll and Uwe Vetter each 's gift of 500 millilitres of their lifeblood.	Halb so viele verbuchen Herbert Mair und Dorothee Riexinger, während Tamara Pfrommer, Petra Schleeh, Stefanie Stoll und Uwe Vetter zehn Mal je 500 Milliliter von ihrem Lebenssaft abgaben.
"Nine Weilermer Bikers, the ""Berlin outpost"", and two guest riders met in Wachenheim in North Palatinate to enjoy four days of trials and attractions."	"Nine Weilermer Bikers, the ""Berlin outpost"", and two guest riders met in Wachenheim in North Palatinate for enjoyment of four days of trials and attractions."	"Neun Weilermer Biker, der ""Berliner Außenposten"" und zwei Gastfahrer trafen sich in Wachenheim in der Nordpfalz, um vier Tage lang Trials und Sehenswürdigkeiten zu genießen."
That same year, Valdez won the International Press Freedom Award of the Committee to Protect Journalists for his courage in pursuing the Mexican drug story wherever it led.	That same year, Valdez won the International Press Freedom Award of the Committee for Protection of Journalists for his courage in pursuing the Mexican drug story wherever it led.	Im selben Jahr gewann Valdez den 'International Press Freedom Award' des Komitees zum Schutz von Journalisten für seinen Mut bei der Verfolgung der mexikanischen Drogengeschichte, wo auch immer sie hinführte.
How one activist came to learn the answer to the question: 'Whose Streets?'	How one activist came for learning about the answer to the question: 'Whose Streets?'	"Wie eine Aktivistin dazu kam, die Antwort auf die Frage zu lernen: ""Whose Streets?"""
"The White House Military Office requested the helicopter's presence in a fragmentary order, or FRAGO, barely 36 hours before the helicopter landed on the South Lawn for the ""unusual"" event, according to the records of Marine Helicopter Squadron One (HMX-1), the unit responsible for operating the helicopter."	"The White House Military Office requested the helicopter's presence in a fragmentary order, or FRAGO, barely 36 hours before the helicopter 's landing on the South Lawn for the ""unusual"" event, according to the records of Marine Helicopter Squadron One (HMX-1), the unit responsible for operating the helicopter."	Das Militärbüro des Weißen Hauses verlangte die Anwesenheit des Hubschraubers in einer fragmentarischen Ordnung oder FRAGO, kaum 36 Stunden bevor der Hubschrauber auf dem South Lawn landete, nach den Aufzeichnungen des Marine Helicopter Squadron One (HMX-1), der Einheit, die für den Betrieb des Hubschraubers verantwortlich ist.
