sentence	paraphrase	reference
Hence, the IAEA can not independently verify their authenticity.	Hence, their authenticity could not be independently verified by the IAEA.	 Die IAEA kann daher ihre Echtheit nicht unabhängig verifizieren.
However, after analysing the particles, the IAEA rejected the claim as implausible.	However, after analysing the particles, the claim was rejected by the IAEA as implausible.	 Doch das wies die IAEA nach Analyse der Partikel als unwahrscheinlich zurück.
By 2015, they estimate a total of 200,000 emigrants.	By 2015, a total of 200,000 emigrants is estimated by them.	 Bis 2015 rechnen sie sogar mit 200.000 Emigranten.
She sees her fellow students making their way from one unpaid internship to another.	Her fellow students making their way from one unpaid internship to another are seen by her.	 Sie beobachtet, wie ihre Kommilitonen sich von einem unbezahlten Praktikum zum nächsten hangeln.
"""I am earning money in Germany for a house in Ireland that I barely see."""	"""Money is being earned by me in Germany for a house in Ireland that I barely see."""	" ""Ich verdiene Geld in Deutschland für ein Haus in Irland, in dem ich so gut wie nie mehr bin."""
The civil engineer does not like the moaning that he hears so often.	The moaning that he hears so often is not liked by the civil engineer.	 Der Bauingenieur mag das Wehklagen nicht, das er zurzeit oft hört.
Because the poll has been taken regularly since 1995, it tracks changes in attitude across the region.	Because the poll has been taken regularly since 1995, changes in attitude across the region are tracked by it.	 Diese Umfrage wird seit 1995 regelmäßig durchgeführt und zeigt so den Meinungswechsel in dieser Region auf.
A decade ago economic woes in Latin America undermined support for democracy.	A decade ago support for democracy was undermined by economic woes in Latin America.	 Vor einem Jahrzehnt untergruben Lateinamerikas Wirtschaftskrisen die Bemühungen um mehr Demokratie.
It would occupy a 4.32-acre site on Nicolas Road about two miles east of Chaparral High School.	A 4.32-acre site on Nicolas Road about two miles east of Chaparral High School is occupied by it.	 Sie soll auf dem ca. 17.500 m2 großen Grundstück an der Nicolas Road in der Nähe der Chaparral High School entstehen.
"""This organism has dual capability."""	"""Dual capability is had by this organism."""	" ""Dieser Organismus hat zwei Möglichkeiten."""
The other dogs were expected to compete in other competitions scheduled in the days before the AKC/Eukanuba show, Peek told The Times on Wednesday.	The other dogs were expected to compete in other competitions scheduled in the days before the AKC/Eukanuba show, The Times was told by Peek on Wednesday.	 Wie Peek der Times am Mittwoch mitteilte, sollten die anderen Hunde an den Tagen vor der AKC/Eukanuba-Show an anderen Wettbewerben teilnehmen.
If you're a child of the '80s, you may recall Alphie, one of the first computerized educational toys.	If you're a child of the '80s, Alphie , one of the first computerized educational toys might be recalled by you.	 Wenn Sie ein Kind der 80er sind, erinnern Sie sich sicherlich an Alphie, einen der ersten computerisierten Lernspielzeuge.
Increasingly, toys have some sort of online connection.	Increasingly, some sort of online connection is had by toys.	 Immer mehr Spielzeuge haben eine Art Online-Verbindung.
The officers describe their duties as more monotonous than strenuous.	Their duties are described by the officers as more monotonous than strenuous.	 Laut der Beamtinnen ist die Tätigkeit eher monoton als anstrengend.
Prosecutors won't charge Senator Ensign	Senator Ensign will not be charged by prosecutors	 Staatsanwalt wird Senator Ensign nicht anklagen
After keeping a low profile for many months, Mr. Ensign told reporters two weeks ago that he planned to run for a third term in the Senate.	After keeping a low profile for many months, reporters were told by Mr. Ensign two weeks ago that he planned to run for a third term in the Senate.	 Nachdem er viele Monate nicht mehr aufgefallen war, erzählte Mr. Ensign vor zwei Wochen Reportern, das er eine dritte Amtszeit im Senat anstrebe.
Minute by minute, they sent out reports of gruesome testimony via Twitter.	Minute by minute, reports of gruesome testimony via Twitter were sent out by them.	 Im Minutentakt verschickten sie über Twitter ihre Berichte über grausige Zeugenaussagen.
The claim could force appeals judges to grapple with the question of whether new technology requires new courtroom rules.	Appeals judges could be forced by the claim to grapple with the question of whether new technology requires new courtroom rules.	 Dieser Einspruch könnte die Appelationsgerichte veranlassen, sich mit der Frage zu beschäftigen, ob die neuen Technologien neue Regeln im Gerichtssaal notwendig werden lassen.
Mr. Hayes's lawyers are pressing that claim.	That claim is being pressed by mr. Hayes 's lawyers.	 Mr. Hayers Rechtsanwälte verstärken diese Behauptung.
"""This case,"" they wrote, ""represents the Sheppard v. Maxwell of the 21st century."""	"""The Sheppard v. Maxwell of the 21st century is,"" they wrote, ""represented by this case."""	" ""Diese Fall"", so schrieben sie, ""repräsentiert Sheppard gegen Maxwell des 21. Jahrhunderts."""
At the same time, activists in both parties see 2010 as mere prelude to a more consequential election in 2012.	At the same time, 2010 is seen by activists in both parties as mere prelude to a more consequential election in 2012.	 Gleichzeitig sehen die Aktivisten beider Parteien 2010 als reines Vorspiel für eine an Konsequenz weitaus weitreichenderen Wahl 2012.
"""Analysts identify a three-tiered structure in Moscow's criminal world."""	"""A three - tiered structure in Moscow 's criminal world is identified by analysts."""	 Fachleute haben eine dreilagige Struktur innerhalb der kriminellen Welt Moskaus entdeckt.
"""Everyone here loves Ta Mok."""	"""Ta Mok is loved by everyone here."""	" ""Jeder hier liebt Ta Mok."""
"""It is creating divisions within families."""	"""Divisions are being created by it within families."""	" ""Es spaltet selbst Familien."""
"""Ta Mok fed everyone."""	"""Everyone was fed by ta Mok."""	" ""Ta Mok hat jedem etwas zu essen gegeben."""
In 2007, she told researchers from the Documentation Center of Cambodia that she had supervised construction of the Trapeang Thma dam, a project in which thousands of forced laborers are thought to have died.	In 2007, researchers from the Documentation Center of Cambodia were told by her that she had supervised construction of the Trapeang Thma dam, a project in which thousands of forced laborers are thought to have died.	 2007 hatte sie Beauftragten des Dokumentationszentrums von Kambodscha erzählt, sie habe den Bau des Trapeang Thma Damms geleitet, ein Projekt, bei dem tausende von Zwangsarbeitern vermutlich starben.
It distributed it in Anlong Veng in June as a supplement to the Education Ministry's high school history textbook, which contains fewer than four pages about the Khmer Rouge.	It was distributed by it in Anlong Veng in June as a supplement to the Education Ministry's high school history textbook, which contains fewer than four pages about the Khmer Rouge.	 Es verteilte das Buch im Juni in Anlong Veng als Anhang zum Geschichtsbuch für die High School des Bildungsministeriums, das weniger als vier Seiten über die Khmer Rouge enthält.
As in much of Cambodia, Anlong Veng's young people know few details about the Khmer Rouge, despite the town's connection to the regime.	As in much of Cambodia, few details about the Khmer Rouge are known by Anlong Veng 's young people, despite the town's connection to the regime.	 Wie oft in Kambodscha wissen die jungen Menschen in Anlong Veng nur wenig über die Khmer Rouge, trotz der Verbindungen der Stadt zum Regime.
Still, the Khmer Rouge retains a powerful allure here.	Still, a powerful allure is retained by the Khmer Rouge here.	 Noch immer besitzt die Khmer Rouge hier eine machtvolle Anziehung.
The U.S. government spent $ 13 million on the efforts, much of it to supply Belarus's research facility with low-enriched uranium, which is not suitable for nuclear weapons.	$ 13 million were spent by the U.S. government on the efforts, much of it to supply Belarus's research facility with low-enriched uranium, which is not suitable for nuclear weapons.	 Die US-Regierung zahlt für diese Mühen $ 14 Millionen, wobei ein Großteil des Geldes in die weißrussische Forschung mit schwach angereichertem Uran fließt, welches nicht für Nuklearwaffen verwendet werden kann.
The ambassador also expresses his preoccupation for the action of the PP in this matter.	His preoccupation for the action of the PP is also expressed by the ambassador in this matter.	 Der Botschafter äußerte auch seine Besorgnis über die Vorgehensweise der PP in dieser Angelegenheit.
Last Sunday, the PPC obtained 384.091 votes.	Last Sunday, 384.091 votes were obtained by the PPC.	 Am letzten Sonntag erzielte die PPC 384.091 Stimmen.
The Catalan group facilitated thousands of passports to Al Qaida	Thousands of passports were facilitated by the Catalan group to Al Qaida	 Die katalanische Zelle besorgte Al Qaida tausende von Reisepässen
The PP asks Mas to postpone the fiscal concert	Mas is asked by the PP to postpone the fiscal concert	 PP fordert von Mas eine Vertagung der Steuervereinbarung
In this case an overdose of insulin brought her the death; unlike the first crime he committed with a mixture of sedative tablets.	In this case the death was brought on her by an overdose of insulin; unlike the first crime he committed with a mixture of sedative tablets.	 In diesem Fall tötete er mit einer Überdosis Insulin, im Unterschied zum ersten Verbrechen, bei dem er eine Mischung aus verschiedenen Beruhigungsmitteln verabreicht hatte.
Come on, we can do it.	Come on, it could be done by us.	 Nur Mut, das schaffen wir!
The president of Eulen will contest the meeting of Vega Sicilia requested by his children	The meeting of Vega Sicilia requested by his children will be contested by the president of Eulen	 Der Vorstandsvorsitzende von Eulen fechtet auf Antrag seiner Kinder die Gesellschafterversammlung von Vega Sicilia an
In addition, HP covers the formation of the personnel of the establishments.	In addition, the formation of the personnel of the establishments is covered by HP.	 Außerdem ist HP für die Ausbildung des Ladenpersonals zuständig.
The bank will start up in 2011 a new director plan that will have a validity of three years.	A new director plan that will have a validity of three years will be started up in 2011 by the bank.	 Die Bank wird 2011 einen neuen Dreijahresleitplan einführen.
After assuring that Sabadell can survive the temporary closing of the markets, he pays attention to which some bankers already predicted as a new crisis of liquidity.	After assuring that Sabadell can survive the temporary closing of the markets, attention to which some bankers already predicted as a new crisis of liquidity is paid by him.	 Nachdem er versichert, dass Sabadell auch eine vorübergehende Schließung der Märkte überleben könne, entkräftet er das Argument einiger Banker, die bereits eine neue Liquiditätskrise prophezeien.
They made a strategic decision without avoiding the punishment.	A strategic decision was made by them without avoiding the punishment.	 Sie trafen eine strategische Entscheidung, ohne einer Strafe auszuweichen oder vor ihr zu flüchten.
Whatever conjuncture, everyone demanded a price war, confirms the president of the Gremi Restoration of Barcelona, Gaiet Farrs.	Whatever conjuncture, a price war was demanded by everyone, confirms the president of the Gremi Restoration of Barcelona, Gaiet Farrs.	 Wie die Konjunktur auch immer liegt, es werden Niedrigstpreise gefordert, bestätigt der Vorsitzende des Gaststättengremiums von Barcelona, Gaietà Farràs.
"""People consider it long before making the reservation."""	"""It is considered by people long before making the reservation."""	" ""Die Leute überlegen es sich 'zig Mal, bevor sie reservieren."""
The Pakistani nuclear program generates great restlessness in the USA	Great restlessness in the USA is generated by the Pakistani nuclear program	 Das pakistanische Nuklearprogramm erregt große Besorgnis in den USA
Next to him the agents found a piece of cardboard with a message.	Next to him a piece of cardboard with a message was found by the agents.	 Neben ihm fand die Polizei eine Pappe mit einer Nachricht.
The applicant will make only one payment which will cover the three services.	Only one payment which will cover the three services will be made by the applicant.	 Der Antragsteller leistet nur eine einzige Zahlung, die die drei Dienstleistungen abdeckt.
The new unity does not create unanimity	Unanimity is not created by the new unity	 Die neue Einheit findet keine Einstimmigkeit
Nevertheless, the Tuesday announcement surprised more than one person.	Nevertheless, more than one person was surprised by the Tuesday announcement.	 Dennoch, die Ankündigung von Mittwoch hat mehr als nur einen überrascht.
Quebec would also ask Ottawa to modify the criminal code, to make it more suitable for this type of crime.	Ottawa is also asked by quebec to modify the criminal code, to make it more suitable for this type of crime.	 Das Quebec wird von Ottawa ebenso verlangen, das Strafgesetz dahingehend abzuändern, um besser auf diese Art von Verbrechen eingestellt zu sein.
The animators must present solid, not deceptive information.	Solid , not deceptive information is presented by the animators.	 Die Moderatoren sollten vielmehr solide als irreführende Auskünfte erteilen.
In all its decisions the Committee condemns the broadcasting of coarse language.	In all its decisions the broadcasting of coarse language is condemned by the Committee.	 In allen Beschlüssen prangert der Aufsichtsrat die Verbreitung einer ungehobelten Ausdrucksweise an.
At the beginning of 2005 the Energie gérance consortium secured this lucrative contract without a prior public call for tender.	At the beginning of 2005 this lucrative contract was secured by the Energie gérance consortium without a prior public call for tender.	" Anfang 2005 ergatterte das Konsortium ""Énergie gérance"" den lukrativen Vertrag, ohne dass es eine öffentliche Ausschreibung gegeben hätte."
A brief inspection of the register of Quebec companies shows the existece of over 200 consortia, some of which appear to be permanent.	The existece of over 200 consortia , some of which appear to be permanent is shown by a brief inspection of the register of Quebec companies.	 Ein kurzes Überfliegen des Quebecer Unternehmensregisters erlaubt es, mehr als 200 Konsortien zu benennen, von denen einige von beständiger Dauer zu sein scheinen.
"Barometer of the responsible consumption - the ""green"" label does not inspire confidence."	"Confidence is not inspired by barometer of the responsible consumption - the "" green "" label."	" Barometer verantworungsbewußten Konsums - Das ""grüne"" Etikett ist nicht vertrauenerweckend"
He sent him a final report ten days ago.	A final report was sent to him by him ten days ago.	 Vor mehreren Tagen hatte er ihr einen letzten Sachbericht zukommen lassen.
Mr. Wilkins offers some explanations of this situation.	Some explanations of this situation are offered by mr. Wilkins.	 Herr Wilkins bietet verschiedene Erklärungsmöglichkeiten dieser Situation.
They advised the Americans to arrange to repatriate their own nationals detained in Iran.	The Americans were advised by them to arrange to repatriate their own nationals detained in Iran.	 Die rieten den Amerikanern, alles daran zu setzen, um ihre eigenen Staatsangehörigen rückzuführen, die gewaltsam im Iran festgehalten würden.
According to numerous observers, the American embassy is considering this worrying coincidence.	According to numerous observers, this worrying coincidence is being considered by the American embassy.	 Die amerikanische Botschaft stellt sich, wie zahlreiche andere Beobachter, Fragen über diese beunruhigende Koinzidenz.
During the conversation with Kathleen Allegrone on 4 September, François Richier gave an assurance that this was not the case.	During the conversation with Kathleen Allegrone on 4 September, an assurance that this was not the case was given by François Richier.	 Anlässlich einer erneuten Unterredung mit Kathleen Allegrone am 4. September versichert François Richier, dass dies nicht der Fall sei.
The American embassy knows this from a reliable source.	This is known by the American embassy from a reliable source.	 Die amerikanische Botschaft weiß dies aus guter Quelle.
This might at least confuse the Iranians.	The Iranians might be at least confused by this.	" ""Dies sollte zumindest Verwirrung bei den Iranern stiften""."
In November, South Korea won four gold medals at World Cyber Games in a contest of 58 other nations.	In November, four gold medals were won by South Korea at World Cyber Games in a contest of 58 other nations.	 Im November hatte Südkorea gegenüber 58 weiteren Nationen vier Goldmedaillen in den World Cyber Games errungen.
World championships 2018-2022: Fifa appoints organising countries.	World championships 2018-2022: organising countries are appointed by Fifa.	 Weltmeisterschaft 2018-2022: die FIFA ernennt das Ausrichterland
An Elysée mandate tells a different story.	A different story is told by an Elysée mandate.	 Ein Mandat im Elysée ruft das nächste herbei.
"The fact that on Tuesday night at the Elysée before UMP deputies he called up the prospect of ""two mandates"" sowed some feverish reflections."	"Some feverish reflections were sown by the fact that on Tuesday night at the Elysée before UMP deputies he called up the prospect of "" two mandates ""."	" Dass er am Dienstagabend im Elysée vor der UMP-Parlamentariern die Perspektive von ""zwei Mandaten"" anklingen lassen würde, hatte demnach ein wenig Fieberhaftigkeit verbreitet."
Taking into account the large exposure of European banks to sovereign debt markets of the Euro zone, the issuing institute has no option other than to maintain a presence in the market.	Taking into account the large exposure of European banks to sovereign debt markets of the Euro zone, no option other than to maintain a presence in the market is had by the issuing institute.	 In Anbetracht der Relevanz der exponierten Stellung der europäischen Banken auf den Märkten der Staatsverschuldung in der Eurozone hat die Zentralbank keine andere Wahl, als ihre Präsenz auf dem Markt beizubehalten.
For the moment, Italy receives support from international institutions.	For the moment, support from international institutions is received by Italy.	 Zur Stunde erhält Italien die Unterstützung internationaler Institutionen.
Yesterday, an official American representative told Reuter that the United States would support a possible increase of funds for direct supplementary involvement of the IMF.	Yesterday, Reuter was told by an official American representative that the United States would support a possible increase of funds for direct supplementary involvement of the IMF.	 Gestern hatte ein offizieller amerikanischer Repräsentant der Agentur Reuters anvertraut, die Vereinigten Staaten unterstützten einen möglichen Anstieg der durch das zusätzliche, direkte Engagement des IWF mobilisierten Fonds.
The WikiLeaks affair has a double significance.	A double significance is had by the WikiLeaks affair.	 Die Affaire WikiLeaks hat eine zweifache Bedeutung.
Secondly, the idea of a hacker being able to acquire the deepest secrets of the most powerful country in the world represents a significant blow to the prestige of the State Department.	Secondly, a significant blow to the prestige of the State Department is represented by the idea of a hacker being able to acquire the deepest secrets of the most powerful country in the world.	 An zweiter Stelle: Die Idee, dass ein x-beliebiger Hacker die geheimsten Geheimnisse des mächtigsten Landes der Welt anzapfen kann, birgt den erheblichen Schlag gegen das Prestige des Staatsdezernats.
An apple from Brazil contains traces of six chemical substances incluing a fungicide, prohibited in France.	Traces of six chemical substances incluing a fungicide , prohibited in France are contained by an apple from Brazil.	 Der aus Brasilien importierte Apfel, als Zwischenmahlzeit für die Studie vorgesehen, weist Spuren von sechs chemischen Substanzen auf, darunter ein in Frankreich verbotenes Fungizid.
The verdict is not yet final; the court will hear Tymoshenko's appeal in December.	The verdict is not yet final; Tymoshenko 's appeal will be heard by the court in December.	Das Urteil ist noch nicht rechtskräftig, im Dezember soll die Berufung der Verurteilten vor Gericht verhandelt werden.
In this year's third quarter, the Czech economy showed an interim increase of 1.5%.	In this year's third quarter, an interim increase of 1.5 % was shown by the Czech economy.	Die tschechische Wirtschaft wuchs im diesjährigen dritten Quartal im Vergleich zum Vorjahr um 1,5 Prozent.
Football representation successfully managed the toughest task of the season!	The toughest task of the season was successfully managed by football representation!	Die Fußballauswahl hat die schwerste Aufgabe der ganzen Saison gemeistert!
They created a live shield.	A live shield was created by them.	Sie bildeten einen lebenden Schild.
Several hundred university students created a live chain around the nuclear power plant in Iran.	A live chain around the nuclear power plant in Iran was created by several hundred university students.	Einige Hundert Hochschulstudenten bildeten einen lebenden Schild rund herum um ein Kernobjekt im Iran.
In Isfahan, Iran, several hundred university students created a live chain around Isfahan Uranium Conversion Facility.	In Isfahan, Iran, a live chain around Isfahan Uranium Conversion Facility was created by several hundred university students.	Ein paar Hundert Studenten der Universität im iranischen Isfahan bildeten am Dienstag einen lebendigen Schild rund herum um das Kerntechnologiezentrum in Isfahan, in dem Uran verarbeitet wird.
This way, they express their readiness to protect their country's nuclear program with their own lives.	This way, their readiness to protect their country 's nuclear program with their own lives is expressed by them.	Damit wollten sie kund tun, dass sie bereit sind, das Kernprogramm ihres Landes, wenn nötig auch mit ihrem eigenen Leben zu schützen.
The research took place at the end of last year's school year; it included almost 900 elementary school children from throughout Bohemia.	The research took place at the end of last year's school year; almost 900 elementary school children were included by it from throughout Bohemia.	Die Umfrage fand vergangenes Jahr gegen Ende des Schuljahrs statt, dabei wurden nahezu 900 Kinder aus Grundschulen in ganz Tschechien befragt.
In a majority of families, everyone has breakfast separately.	In a majority of families, breakfast is had by everyone separately.	Und - in den meisten Familien frühstückt jeder für sich allein.
One has a short neck, the other has a boyish figure without proper curves, yet another is overweight.	One has a short neck, a boyish figure is had by the other without proper curves, yet another is overweight.	Die einen haben einen zu kurzen Hals, die anderen eine zu jungenhafte Figur ohne ordentliche Kurven und wieder andere sind mollig.
"However, I appreciated the following advice the most: ""For your work, you need to know the rules perfectly."""	"However, the following advice was appreciated by me the most: ""For your work, you need to know the rules perfectly."""	"Am meisten kam mir aber der folgende Rat gelegen: ""Zuerst müsst ihr die Regeln perfekt kennen."""
'Then you can start breaking them,' Jakub told us.	'Then you can start breaking them,' we were told by Jakub.	"""Erst dann dürft ihr sie verletzen"", sagte Jakub."
This requires real skill.	Real skill is required by this.	Also muss man wirklich geschickt vorgehen.
The idea brings several interesting features.	Several interesting features are brought by the idea.	Die Grundidee beinhaltet eine ganze Reihe interessanter Elemente.
The driving model follows the footsteps of the previous parts.	The footsteps of the previous parts are followed by the driving model.	Das Fahrmodell schreitet in den Fußtapfen der vorangegangenen Teile.
"""Lisbon Treaty caused significant imbalance between individual institutions."""	"""Significant imbalance between individual institutions was caused by lisbon Treaty."""	"""Der Vertrag von Lissabon hat das Gleichgewicht unter den einzelnen Institutionen fühlbar aus dem Lot gebracht."""
She described Czech presidency from the year before last as a success.	Czech presidency was described by her from the year before last as a success.	Den tschechischen Vorsitz von vor zwei Jahren bezeichnete sie als Erfolg.
"The ambassadress reminded the key slogans she took to Brussels: ""About Europe, Clearly."""	"The key slogans she took to Brussels were reminded by the ambassadress: ""About Europe, Clearly."""	"Die Botschafterin erinnert auch an ihre eigenen Slogans, mit denen sie nach Brüssel kam: ""Verständlich über Europa""."
In the Union's future, Vicenová expects mainly new strict rules for the budget policy of member states.	In the Union's future, mainly new strict rules for the budget policy of member states are expected by Vicenová.	Frau Vicenové zufolge erwarten die EU in Zukunft vor allem harte Regeln für die Budget-Politik der Mitgliedsstaaten.
It is no surprise that the ideas are plentiful - the company employs nearly half a million people.	It is no surprise that the ideas are plentiful - nearly half a million people are employed by the company.	Kein Wunder - Ideen gibt es genug, im Unternehmen ist ja fast eine halbe Million Menschen beschäftigt.
Meanwhile, in 1964, IBM developed the first computer family - the IBM line System/360.	Meanwhile, in 1964, the first computer family - the IBM line System/360 was developed by IBM.	Unterdessen entwickelte IBM im Jahre 1964 die erste Rechnerfamilie mit gleicher Rechnerarchitektur - die Reihe IBM System/360.
Today, IBM CZ also runs a strategic outsourcing centre in Brno.	Today, a strategic outsourcing centre in Brno is also run by IBM CZ.	Heute betreibt IBM ČR unter anderem auch ein strategisches Outsourcing Center in Brünn.
Iveto, keep the fool, I don't want him anymore!	Iveto, keep the fool, he is not wanted by me anymore!	Iveta - diesen Esel kannst du dir behalten, ich will ihn nicht mehr!
"""I respect my wife's decision."""	"""My wife 's decision is respected by me."""	"""Die Entscheidung meiner Frau respektiere ich."""
After the match, Jágr told the overseas journalists he had predicted a great evening for Giroux.	After the match, the overseas journalists were told by Jágr he had predicted a great evening for Giroux.	Jágr behauptete nach dem Spiel Journalisten gegenüber, er habe Giroux einen großen Abend prophezeit.
"""I told him before the match he would score a hat-trick."""	"""He was told by me before the match he would score a hat-trick."""	"""Schon vor dem Spiel sagt ich ihm, dass ihm heute ein Hattrick gelingt."""
Its victory moved Philadelphia onto the top of the Eastern Conference.	Philadelphia was moved by its victory onto the top of the Eastern Conference.	Durch diesen Sieg setzte sich Philadelphia an die Spitze der östlichen Konferenz.
Since 1989, Czech tourism thus experienced a real revolution.	Since 1989, a real revolution was thus experienced by Czech tourism.	Der samtenen Revolution von 1989 folgte eine Reiserevolution der Tschechen auf den Fuß.
Currently about 100 thousand Czechs visit exotic countries every year!	Exotic countries are visited by currently about 100 thousand Czechs every year!	An die 100 Tsd. Tschechen reisen alljährlich in exotische Länder!
General meeting delegates wasted their trip to the National House in Prague, Smíchov, as the negotiations remained blocked, not just regarding the election method.	Their trip was wasted by general meeting delegates to the National House in Prague, Smíchov, as the negotiations remained blocked, not just regarding the election method.	Die Delegierten der Hauptversammlung waren ganz umsonst ins Volkshaus im Prager Viertel Smíchov gekommen, denn die Verhandlung führte zu keinem Ergebnis und dabei ging es nicht nur um die Wahl selbst.
"""That may cause another blockage of the general meeting."""	"""Another blockage of the general meeting might be caused by that."""	"""Deshalb ist eine erneute Blockierung bei der Hauptversammlung nicht ausgeschlossen."""
"""I can see him as the head of the representation."""	"""He could be seen by me as the head of the representation."""	"""Ich könnte mir ihn gut zum Beispiel als Chef der Nationalmannschaft vorstellen."""
"'I'll distribute tasks strictly so that in each of these segments, football makes big steps forward."""	"'Tasks will be distributed by me strictly so that in each of these segments, football makes big steps forward."""	"Und ich werde harte Aufgaben verteilen, damit der Fußball in jedem Segment mit Meilenschritten vorankommt."""
Furthermore, he refutes the allegations he would only be a Czech President.	Furthermore, the allegations he would only be a Czech President are refuted by him.	Er widerspricht auch der Behauptung, er sei nur ein Vorsitzender der Tschechen.
On the other hand, he considers the fact that the association does not stick together partially as his own fault.	On the other hand, the fact that the association does not stick together partially as his own fault is considered by him.	Andererseits gibt er sich zum Teil die Schuld dafür, dass der Verband nicht an einem einzigen Strang zieht.
Pool collector Meder discovered some notable examples during research in Hungary.	Some notable examples were discovered by pool collector Meder during research in Hungary.	Bemerkenswerte Exemplare entdeckte die Pool-Sammlerin Meder bei ihren Recherchen in Ungarn.
According to SPIEGEL ONLINE, an international working group is currently investigating the accusations contained in the Foodwatch report.	According to SPIEGEL ONLINE, the accusations contained in the Foodwatch report are being currently investigated by an international working group.	Nach Informationen von SPIEGEL ONLINE prüft eine Internationale Arbeitsgruppe derzeit die Vorwürfe aus dem Foodwatch-Report.
One in two people would withdraw commodities investments	Commodities investments are withdrawn by one in two people	Jeder Zweite würde Rohstoff-Anlagen kündigen
The bank did not admit culpability in the settlement.	Culpability was not admitted by the bank in the settlement.	Die Bank räumte mit dem Vergleich keine Schuld ein.
However, IBM's annual reports changed his mind on investing in the industry.	However, his mind was changed by IBM 's annual reports on investing in the industry.	Nun habe er jedoch die Geschäftsberichte von IBM gelesen und seine Meinung über Investitionen in der Branche geändert.
The attacks, however, increased the sense of Turkish unity.	The sense of Turkish unity was, however, increased by the attacks.	Die Anschläge schärften jedoch das Wir-Gefühls auf türkischer Seite.
That made an impression.	An impression was made by that.	Das machte Eindruck.
He must find a strategy for a bank that has turned its back on all existing business models.	A strategy for a bank that has turned its back on all existing business models is found by him.	Er muss eine Strategie für eine Bank finden, der alle naheliegenden Geschäftsmodelle abhandengekommen sind.
His investment of more than ten billion dollars in IBM boosted the veteran company's share price by almost one percent against the trend during the course of trading.	The veteran company 's share price was boosted by his investment of more than ten billion dollars in IBM by almost one percent against the trend during the course of trading.	Seine Investition über mehr als zehn Milliarden Dollar in IBM stützte den Aktienkurs des Traditionskonzerns und ließ ihn gegen den Trend im Handelsverlauf zunächst knapp ein Prozent höher notieren.
The bank is converting almost all its remaining shares in the China Construction Bank into cash, bringing in 6.6 billion dollars.	Almost all its remaining shares in the China Construction Bank are being converted by the bank into cash, bringing in 6.6 billion dollars.	Das Haus versilbert fast den gesamten Rest seiner Anteile an der China Construction Bank und streicht dafür 6,6 Milliarden Dollar ein.
The Emirates airline ordered 50 long-range type 777 aeroplanes on Sunday with an order value of 18 billion dollars.	50 long - range type 777 aeroplanes were ordered by the Emirates airline on Sunday with an order value of 18 billion dollars.	Airline Emirates bestellte am Sonntag 50 Langstrecken-Maschinen des Typs 777 und bezifferte den Wert der Order auf 18 Milliarden Dollar.
Specialists from all over Germany discussed possible solutions.	Possible solutions were discussed by specialists from all over Germany.	Dort berieten Fachleute aus dem gesamten Bundesgebiet über mögliche Auswege.
The researchers put a small bucket with a moth larva in a vertical cylinder.	A small bucket was put by the researchers with a moth larva in a vertical cylinder.	In einem senkrecht aufgestellten Zylinder hatten die Forscher ein kleines Eimerchen mit einer Mottenlarve platziert.
The birds could not reach their prey with their beaks.	Their prey could not be reached by the birds with their beaks.	Mit dem Schnabel konnten die Vögel ihre Beute nicht erreichen.
Three of the four rooks even managed it at the first attempt.	It was even managed by three of the four rooks at the first attempt.	Drei der vier Saatkrähen gelang dies sogar auf Anhieb. 
The referee Wolfgang Stark from Ergolding then garnered some attention.	Some attention was then garnered by the referee Wolfgang Stark from Ergolding.	Anschließend stand Schiedsrichter Wolfgang Stark aus Ergolding im Mittelpunkt.
The Turks almost managed the perfect start in front of 31,000 spectators at the Maksimir stadium.	The perfect start in front of 31,000 spectators at the Maksimir stadium was almost managed by the Turks.	Vor 31.000 Zuschauern im Maksimir-Stadion hätten die Türken beinahe einen Traumstart erwischt.
A man was driving a stolen car in Charlottenburg at night.	A stolen car was being driven by a man in Charlottenburg at night.	Ein Mann war nachts mit einem geklauten Wagen in Charlottenburg unterwegs.
A witness notified the police.	The police was notified by a witness.	Ein Zeuge alarmierte die Polizei.
The three then fled the scene.	The scene was then fled by the three.	Dann flüchtete das Trio.
The fire caused a large cloud of fumes that could be seen clearly from some distance.	A large cloud of fumes that could be seen clearly from some distance was caused by the fire.	Dadurch entstand eine große Rauchwolke, die auch aus der Entfernung gut zu sehen war.
The company from Walldorf made around 12.5 billion Euros last year.	Around 12.5 billion Euros was made by the company from Walldorf last year.	Im vergangenen Jahr hatten die Walldorfer rund 12,5 Milliarden Euro erlöst.
War floods these people's lives like a natural catastrophe, a Hurricane Katrina that reeks of cordite.	These people 's lives are flooded by war like a natural catastrophe, a Hurricane Katrina that reeks of cordite.	Der Krieg überschwemmt das Leben dieser Menschen wie eine Naturkatastrophe, wie ein Hurrikan Katrina, der nach Kordit riecht.
His book has the most devastating ending I can remember in a piece of nonfiction.	The most devastating ending I can remember in a piece of nonfiction is had by his book.	Sein Buch hat das verheerendste Ende, von dem ich je in einem Sachbuch gelesen habe.
A core group of protesters took up positions close to the encampment's kitchen area, near the center of the park.	Positions were taken up by a core group of protesters close to the encampment's kitchen area, near the center of the park.	Ein Hauptkern von Protestlern bezog in der Nähe des Küchenbereichs des Lagers im Zentrum des Parks Position.
